tau,pack_m,grouping,leftover_rows,grouping_keys
2,64,q-head,14,4931
2,64,q-head,15,3918
2,64,q-head,16,3118
2,64,q-head,17,2405
2,64,q-head,18,1815
2,64,q-head,19,1291
2,64,q-head,20,971
2,64,q-head,21,673
2,64,q-head,22,452
2,64,q-head,23,319
2,64,q-head,24,195
2,64,q-head,25,115
2,64,q-head,26,87
2,64,q-head,27,57
2,64,q-head,28,32
2,64,q-head,29,17
2,64,q-head,30,17
2,64,q-head,31,4
2,64,q-head,32,6
2,64,q-head,33,1
2,64,q-head,34,1
2,64,q-head,35,1
2,128,kv-head,1,25795
2,128,kv-head,2,34080
2,128,kv-head,3,27041
2,128,kv-head,4,26375
2,128,kv-head,5,22960
2,128,kv-head,6,20797
2,128,kv-head,7,18030
2,128,kv-head,8,15834
2,128,kv-head,9,13266
2,128,kv-head,10,11153
2,128,kv-head,11,9202
2,128,kv-head,12,7704
2,128,kv-head,13,6300
2,128,kv-head,14,4931
2,128,kv-head,15,3918
2,128,kv-head,16,3118
2,128,kv-head,17,2405
2,128,kv-head,18,1815
2,128,kv-head,19,1291
2,128,kv-head,20,971
2,128,kv-head,21,673
2,128,kv-head,22,452
2,128,kv-head,23,319
2,128,kv-head,24,195
2,128,kv-head,25,115
2,128,kv-head,26,87
2,128,kv-head,27,57
2,128,kv-head,28,32
2,128,kv-head,29,17
2,128,kv-head,30,17
2,128,kv-head,31,4
2,128,kv-head,32,6
2,128,kv-head,33,1
2,128,kv-head,34,1
2,128,kv-head,35,1
2,128,q-head,1,25795
2,128,q-head,2,34080
2,128,q-head,3,27041
2,128,q-head,4,26375
2,128,q-head,5,22960
2,128,q-head,6,20797
2,128,q-head,7,18030
2,128,q-head,8,15834
2,128,q-head,9,13266
2,128,q-head,10,11153
2,128,q-head,11,9202
2,128,q-head,12,7704
2,128,q-head,13,6300
2,128,q-head,14,4931
2,128,q-head,15,3918
2,128,q-head,16,3118
2,128,q-head,17,2405
2,128,q-head,18,1815
2,128,q-head,19,1291
2,128,q-head,20,971
2,128,q-head,21,673
2,128,q-head,22,452
2,128,q-head,23,319
2,128,q-head,24,195
2,128,q-head,25,115
2,128,q-head,26,87
2,128,q-head,27,57
2,128,q-head,28,32
2,128,q-head,29,17
2,128,q-head,30,17
2,128,q-head,31,4
2,128,q-head,32,6
2,128,q-head,33,1
2,128,q-head,34,1
2,128,q-head,35,1
4,64,kv-head,0,5
4,64,kv-head,1,11534
4,64,kv-head,2,13094
4,64,kv-head,3,14904
4,64,kv-head,4,17549
4,64,kv-head,5,13191
4,64,kv-head,6,13716
4,64,kv-head,7,13684
4,64,kv-head,8,13297
4,64,kv-head,9,12488
4,64,kv-head,10,12244
4,64,kv-head,11,11650
4,64,kv-head,12,10864
4,64,kv-head,13,10204
4,64,kv-head,14,9666
4,64,kv-head,15,9072
4,64,kv-head,16,8292
4,64,kv-head,17,7660
4,64,kv-head,18,7140
4,64,kv-head,19,6709
4,64,kv-head,20,6077
4,64,kv-head,21,5711
4,64,kv-head,22,5119
4,64,kv-head,23,4965
4,64,kv-head,24,4452
4,64,kv-head,25,4127
4,64,kv-head,26,3849
4,64,kv-head,27,3468
4,64,kv-head,28,3072
4,64,kv-head,29,2749
4,64,kv-head,30,2631
4,64,kv-head,31,2356
4,64,kv-head,32,1988
4,64,kv-head,33,1813
4,64,kv-head,34,1647
4,64,kv-head,35,1433
4,64,kv-head,36,1291
4,64,kv-head,37,1102
4,64,kv-head,38,920
4,64,kv-head,39,796
4,64,kv-head,40,665
4,64,kv-head,41,574
4,64,kv-head,42,512
4,64,kv-head,43,431
4,64,kv-head,44,371
4,64,kv-head,45,284
4,64,kv-head,46,284
4,64,kv-head,47,197
4,64,kv-head,48,159
4,64,kv-head,49,144
4,64,kv-head,50,112
4,64,kv-head,51,101
4,64,kv-head,52,73
4,64,kv-head,53,48
4,64,kv-head,54,51
4,64,kv-head,55,43
4,64,kv-head,56,29
4,64,kv-head,57,15
4,64,kv-head,58,17
4,64,kv-head,59,14
4,64,kv-head,60,7
4,64,kv-head,61,13
4,64,kv-head,62,5
4,64,kv-head,63,9
4,64,q-head,0,5
4,64,q-head,1,11534
4,64,q-head,2,13094
4,64,q-head,3,14904
4,64,q-head,4,17549
4,64,q-head,5,13191
4,64,q-head,6,13716
4,64,q-head,7,13684
4,64,q-head,8,13297
4,64,q-head,9,12488
4,64,q-head,10,12244
4,64,q-head,11,11650
4,64,q-head,12,10864
4,64,q-head,13,10204
4,64,q-head,14,9666
4,64,q-head,15,9072
4,64,q-head,16,8292
4,64,q-head,17,7660
4,64,q-head,18,7140
4,64,q-head,19,6709
4,64,q-head,20,6077
4,64,q-head,21,5711
4,64,q-head,22,5119
4,64,q-head,23,4965
4,64,q-head,24,4452
4,64,q-head,25,4127
4,64,q-head,26,3849
4,64,q-head,27,3468
4,64,q-head,28,3072
4,64,q-head,29,2749
4,64,q-head,30,2631
4,64,q-head,31,2356
4,64,q-head,32,1988
4,64,q-head,33,1813
4,64,q-head,34,1647
4,64,q-head,35,1433
4,64,q-head,36,1291
4,64,q-head,37,1102
4,64,q-head,38,920
4,64,q-head,39,796
4,64,q-head,40,665
4,64,q-head,41,574
4,64,q-head,42,512
4,64,q-head,43,431
4,64,q-head,44,371
4,64,q-head,45,284
4,64,q-head,46,284
4,64,q-head,47,197
4,64,q-head,48,159
4,64,q-head,49,144
4,64,q-head,50,112
4,64,q-head,51,101
4,64,q-head,52,73
4,64,q-head,53,48
4,64,q-head,54,51
4,64,q-head,55,43
4,64,q-head,56,29
4,64,q-head,57,15
4,64,q-head,58,17
4,64,q-head,59,14
4,64,q-head,60,7
4,64,q-head,61,13
4,64,q-head,62,5
4,64,q-head,63,9
4,128,kv-head,1,11531
4,128,kv-head,2,13090
4,128,kv-head,3,14901
4,128,kv-head,4,17548
4,128,kv-head,5,13188
4,128,kv-head,6,13716
4,128,kv-head,7,13683
4,128,kv-head,8,13296
4,128,kv-head,9,12486
4,128,kv-head,10,12243
4,128,kv-head,11,11650
4,128,kv-head,12,10864
4,128,kv-head,13,10204
4,128,kv-head,14,9666
4,128,kv-head,15,9072
4,128,kv-head,16,8292
4,128,kv-head,17,7660
4,128,kv-head,18,7140
4,128,kv-head,19,6709
4,128,kv-head,20,6077
4,128,kv-head,21,5711
4,128,kv-head,22,5119
4,128,kv-head,23,4965
4,128,kv-head,24,4452
4,128,kv-head,25,4127
4,128,kv-head,26,3849
4,128,kv-head,27,3468
4,128,kv-head,28,3072
4,128,kv-head,29,2749
4,128,kv-head,30,2631
